SITE,LOCATION,YEAR,DESCRIPTION,DOWNLOADED_DANCE_IMAGES
Khajuraho Group of Monuments,Madhya Pradesh,1986,"This site comprises 23 temples, both Hindu and Jain, that were built in the 10th and 11th centuries, during the Chandela dynasty. The temples are built in the Nagara style. They are richly decorated with stone carvings and sculptures that depict sacred and secular motifs, including depictions of domestic life, musicians, dancers, and amorous couples. A detail from the Lakshmana Temple is pictured.",Khajuraho_Group_of_Monuments.jpg
Group of Monuments at Hampi,Karnataka,1986,"Hampi was the capital of the Vijayanagara Empire until its abandonment after its sacking and pillaging by the Deccan sultanates in 1565. For about 200 years, it was a prosperous multi-cultural city that left several monuments in the Dravidian style as well as the Indo-Islamic style. The remains include religious and secular buildings and defensive structures. The Vitthala Temple is pictured. A minor boundary modification of the site took place in 2012. Between 1999 and 2006, the site was listed as endangered due to risks posed by increased traffic and new constructions.",Group_of_Monuments_atHampi.jpg
Fatehpur Sikri,Uttar Pradesh,1986,"For about a decade in the second half of the 16th century, Fatehpur Sikri was the capital of the Mughal Empire under Emperor Akbar, until the capital was moved to Lahore in 1585 and the city was mostly abandoned. The site comprises a large collection of monuments and temples in the Mughal style, such as the Jama Masjid (the gate to the mosque, the Buland Darwaza, pictured), the Panch Mahal palace, and the Tomb of Salim Chishti.",Fatehpur_Sikri.jpg
Group of Monuments at Pattadakal,Karnataka,1987,"This site comprises nine Hindu temples and one Jain temple that were built in the 7th and 8th centuries under the Chalukya dynasty. They were constructed in the Badami Chalukya style that blends influences from northern and southern India. The Temple of Virupaksha is pictured.",Group_of_Monuments_atPattadakal.jpg
Elephanta Caves,Maharashtra,1987,"The cave complex, located on Elephanta Island in Mumbai Harbour, was constructed mainly in the 5th and 6th centuries, with remains of human occupation dating back to the 2nd century BCE. The temples are dedicated to Shiva. The caves are decorated with stone carvings, some of them colossal. A statue of Trimurti Shiva, flanked by the dvarapalas, is pictured.",Elephanta_Caves.jpg
Great Living Chola Temples,Tamil Nadu,1987,"This site comprises three Hindu temples built in the 11th and 12th centuries under the Chola dynasty. They represent some of the best examples of Dravidian architecture of the Chola period. They are made of stone and decorated with stone and bronze sculptures. Initially, only the Brihadisvara Temple (pictured) was listed as a World Heritage Site; two other temples, the Brihadisvara Temple and the Airavatesvara Temple were added in 2004, after which the site was renamed to its current name.",Great_Living_Chola_Temples.jpg
Sundarbans National Park,West Bengal,1987,"The national park covers the Indian part of the Sundarbans, the delta of the Ganges and Brahmaputra rivers. It is the world's largest and richest mangrove forest, with about 78 recorded mangrove species. It is a biodiversity hotspot, home to a large population of Bengal tigers (one pictured), as well as an important habitat for the Irrawaddy dolphin and Ganges river dolphin, several species of birds and sea turtles. In Bangladesh, the Sundarbans is listed as a separate World Heritage Site.",Sundarbans_National_Park.jpg
Nanda Devi and Valley of Flowers National Parks,Uttarakhand,1988,"This site comprises two areas in the West Himalayas, the Valley of Flowers National Park (pictured) and the Nanda Devi National Park. There are different types of high-altitude habitats, from high mountain peaks (Nanda Devi at 7,817 m (25,646 ft) is India's second-highest mountain) to alpine meadows. In addition to numerous mountain plant species, the area is home to the Asiatic black bear, snow leopard, brown bear, and bharal. Nanda Devi NP was originally listed alone in 1988; the Valley of Flowers NP was added in 2005.",Nanda_Devi_and_Valley_of_Flowers_National_Parks.jpg
Buddhist Monuments at Sanchi,Madhya Pradesh,1989,"Sanchi is one of the oldest extant Buddhist sanctuaries and was instrumental in the spread of the religion through the Indian subcontinent. It became important under Emperor Ashoka of the Maurya Empire in the 3rd century BCE. The remains of a pillar from the period are preserved. Stupas (Stupa 1 pictured), palaces, temples, and monasteries are preserved in different states of conservation, mostly dating to the 2nd and 1st centuries BCE. The city declined in importance in the 12th century.",Buddhist_Monuments_atSanchi.jpg
Humayun's Tomb, Delhi,1993,"The tomb of the Mughal emperor Humayun was constructed in the 1560s and represents the first example of a garden tomb on the Indian subcontinent, introducing the elements of Persian gardens. The monumental double-domed mausoleum represents a leap in Mughal architecture and is an architectural predecessor of the Taj Mahal. The complex includes several smaller tombs from the period. A minor boundary modification took place in 2016.",Humayuns_Tomb_Delhi.jpg
Qutb Minar and its Monuments, Delhi,1993,"The complex comprises several early Islamic India monuments from the 13th and 14th centuries when the Delhi Sultanate established power there. They include the Qutb Minar, a 72.5 m (238 ft)-high minaret (pictured), the Alai Darwaza gateway, the Quwwat-ul-Islam Mosque where several stone pillars from previous Hindu temples were repurposed, the Iron pillar, and several tombs and other monuments.",Qutb_Minar_and_its_Monuments_Delhi.jpg
Mountain Railways of India,West-Bengal Tamil-Nadu Himachal-Pradesh,1999,"This site comprises three mountain railways built in the late 19th and early 20th centuries to provide access to towns in the highlands. They represent a technology transfer in a colonial setting; the construction involved building bridges and tunnels to cross difficult terrains. The railways supported further human settlement of the areas they linked to and are still fully operational. The Darjeeling Himalayan Railway was initially listed alone in 1999. The Nilgiri Mountain Railway was added in 2005, and the Kalka–Shimla railway (pictured) in 2008.",Mountain_Railways_of_India.jpg
Mahabodhi Temple Complex at Bodh Gaya,Bihar,2002,"The Buddhist temple complex marks the site where Buddha is said to have attained enlightenment under the Bodhi Tree. The present temple dates to the 5th and 6th centuries CE (during the Gupta period) and was built upon a previous structure commissioned by Emperor Ashoka in the 3rd century BCE. The temple is 50 m (160 ft) high and made of brick. It had a substantial influence on the development of architecture in the following centuries. After centuries of abandonment and neglect, the temple was extensively restored in the 19th century.",Mahabodhi_Temple_Complexat_Bodh_Gaya.jpg
Rock Shelters of Bhimbetka,Madhya Pradesh,2003,"This site comprises five clusters of rock shelters in the foothills of the Vindhya Range. They contain rock paintings from the hunter-gatherer societies of the Mesolithic to the historical period. The nearby villages still maintain some cultural practices similar to those depicted in the paintings.",Rock_Shelters_of_Bhimbetka.jpg
Chhatrapati Shivaji Terminus (formerly Victoria Terminus),Maharashtra,2004,"The historic terminal train station in Mumbai was built in the late 19th century. It was designed by Frederick William Stevens in the Victorian Gothic style, drawing influences from Italian Gothic architecture and combining them with influences from Indian traditional buildings. It symbolized the wealth of Mumbai as a major commercial port within the British Commonwealth.",Chhatrapati_Shivaji_Terminusformerly_Victoria_Terminus.jpg
Champaner-Pavagadh Archaeological Park,Gujarat,2004,"The site contains remains from several periods, from the Chalcolithic to the remains of Champaner, a short-lived capital of the Gujarat Sultanate in the 16th century. Important buildings include the Hindu temple Kalika Mata, Jain temples, and Jama Mosque (pictured) which features both Hindu and Muslim architectural elements, and the remains of water-managing systems, fortifications, and 14th-century temples.",Champaner-Pavagadh_Archaeological_Park.jpg
Red Fort Complex,Delhi,2007,"The Red Fort was built under Mughal emperor Shah Jahan in the mid-17th century. It represents the zenith of Mughal architecture, blending the elements of Indo-Persian culture with Timurid elements. Its architecture had a strong influence on later palaces and gardens in the region. The Red Fort was also the setting of historical events; it was sacked and partially repurposed by the British, and it was the site where the independence of India was first celebrated. The Delhi Gate is pictured.",Red_Fort_Complex.jpg
The Jantar Mantar, Rajasthan,2010,"The Jantar Mantar in Jaipur is India's most significant historic astronomical observatory. It dates from the early 18th century and was built by Rajput king Sawai Jai Singh. There are about 20 astronomical instruments that were designed and built for naked eye observations of the positions of stars and planets. It also served as a meeting point for different scientific cultures.",TheJantar_Mantar_Jaipur.jpg
Western Ghats,Maharashtra Karnataka Kerala Tamil Nadu,2012,"The Western Ghats is a mountain range that runs along the western coast of the Indian subcontinent. It is covered with montane forests. The area is a biodiversity hotspot and home to endangered species such as the Bengal tiger, lion-tailed macaque, Nilgiri tahr, and Nilgiri langur. In terms of evolutionary history, the area is important given the breakup of Gondwana in the early Jurassic period, after which India was an isolated landmass until its collision with the Eurasian Plate. The World Heritage Site comprises 39 individual properties.",Western_Ghats.jpg
Hill Forts of Rajasthan,Rajasthan,2013,"This site comprises six forts: the Chittor Fort, Kumbhalgarh Fort, Ranthambore Fort, Gagron Fort, Amber Fort (pictured), and Jaisalmer Fort, which were constructed between the 8th and 18th centuries by Rajput kingdoms. They are eclectic in style, with elements of Sultanate and Mughal architecture, and were influential on the later styles of the Maratha Empire. They are situated in different settings; for example, Ranthambore is in a forest, and Jaisalmer is in a desert.",Hill_Forts_of_Rajasthan.jpg
Rani-ki-Vav (the Queen's Stepwell) at Patan, Gujarat,2014,"Rani-ki-Vav is one of the finest examples of a stepwell, an elaborate type of well where groundwater is accessed through several levels of stairs. It was constructed in the 11th century, during the Chaulukya dynasty, on the banks of the Saraswati River in the city of Patan. It has seven levels, each decorated with stone carvings and sculptures depicting religious and secular themes and literary works. After the change in the river course in the 13th century, it was no longer in use and got covered with silt, which allowed for its preservation.",Rani-ki-Vavthe_Queens_Stepwell_at_Patan_Gujarat.jpg
Great Himalayan National Park Conservation Area,Himachal Pradesh,2014,"The national park covers habitats from alpine peaks of the Himalayas above 6,000 m (20,000 ft) to alpine meadows and riverine forests below 2,000 m (6,600 ft). In total, there are 25 types of forests recorded, and they have rich floral and faunal assemblies, including numerous species of birds, mammals, reptiles, and insects. It is home to endangered species such as the western tragopan and musk deer.",Great_Himalayan_National_ParkConservation_Area.jpg
Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar,2016,"Nalanda Mahavihara was a Buddhist ancient higher-learning institution established in the 5th century and lasting until its sacking in the 13th century. However, some archaeological remains also date back to the 3rd century BCE. The remains include shrines and stupas, viharas (residential and educational buildings), and artworks in different materials. Both the architectural solutions and educational approaches were influential in other similar institutions in the broader region.",Archaeological_Site_ofNalanda_Mahaviharaat_Nalanda_Bihar.jpg
Khangchendzonga National Park,Sikkim,2016,"The national park is located around Mount Khangchendzonga, the world's third highest mountain (8,586 m (28,169 ft)). It is a sacred mountain in Tibetan Buddhism, where the area is considered a beyul, a sacred hidden land. It is home to ethnically very diverse Sikkimese communities. From the natural perspective, the area comprises various habitats, from high mountains with glaciers to old-growth forests, and is rich in animal and plant species.",Khangchendzonga_National_Park.jpg
The Architectural Work of Le Corbusier,Chandigarh,2016,"This transnational site (shared with Argentina, Belgium, France, Germany, Switzerland, and Japan) encompasses 17 works of Franco-Swiss architect Le Corbusier. Le Corbusier was an important representative of the 20th-century Modernist movement, which introduced new architectural techniques to meet the needs of the changing society. The Chandigarh Capitol Complex is listed in India. It is the central part of the city of Chandigarh and is designed in line with the principles of a radiant city. The Palace of Assembly is pictured.",The_Architectural_Work_of_Le_Corbusier_an_Outstanding_Contribution_to_the_Modern_Movement.jpg
Historic City of Ahmadabad,Gujarat,2017,"The city of Ahmedabad was founded by Ahmad Shah I in 1411 to serve as the capital of the Gujarat Sultanate. It was the meeting place of many religions (Hinduism, Islam, Buddhism, Jainism, Christianity, Zoroastrianism, and Judaism), which resulted in a unique urban fabric. The architecture is based on timber, and the typical neighborhoods are called pols, densely packed traditional houses with gated streets. Important buildings from the Sultanate period include the Bhadra Fort city walls, Teen Darwaza (Pictured), Rani Sipri's Mosque, Sidi Bashir Mosque, Sidi Saiyyed Mosque and Jama Mosque and other numerous mosques, tombs, and shrines.",Historic_City_of_Ahmadabad.jpg
Victorian Gothic and Art Deco Ensembles of Mumbai,Maharashtra,2018,"This site comprises two assemblies of buildings in Mumbai from the British Empire era. Public buildings in the Victorian Gothic style from the second half of the 19th century adapted Gothic Revival elements for the Indian climate, introducing features such as balconies and verandas. The Bombay High Court building is pictured. The Art Deco buildings date to the early 20th century and include cinema halls and apartment buildings. See also Art Deco in Mumbai.",Victorian_Gothic_and_Art_Deco_Ensembles_of_Mumbai.jpg
Jaipur City, Rajasthan,2019,"Jaipur was founded by the Rajput ruler Jai Singh II in 1727. The city was built with a grid plan, inspired by ancient Hindu and Western ideals, in a departure from the medieval architecture of the region. It was a strong trade centre and home to craftsmen and artists. Important buildings and sites include the Hawa Mahal palace (pictured), Govind Dev Ji Temple, City Palace, and Jantar Mantar, which is listed as a separate World Heritage Site.",Jaipur_City_Rajasthan.jpg
Kakatiya Rudreshwara (Ramappa) Temple, Telangana,2021,"The Hindu temple, dedicated to Shiva, was constructed in the first half of the 13th century under the Kakatiya dynasty. It is decorated with stone carvings and sculptures in granite and dolerite that depict regional dance customs. In line with Hindu practices, the temple is constructed in a way that blends harmonically with the environment.",Kakatiya_Rudreshwara_Ramappa_Temple_Telangana.jpg
Dholavira: a Harappan City,Gujarat,2021,"Dholavira was one of the centres of the Harappan Civilisation from the 3rd to mid-2nd millennium BCE, in the Bronze Age. The remains include a walled city and a cemetery, and there are remains of buildings and water management systems. The city's location was chosen because of nearby sources of precious minerals. The city had trade connections with other cities in the region and as far as Mesopotamia. The site was rediscovered in 1968.",Dholavira_a_Harappan_City.jpg
Santiniketan,West Bengal,2023,"Santiniketan was founded as an ashram by Debendranath Tagore in the second half of the 19th century and then developed into a university town for Visva-Bharati University. It is connected to the life and philosophy of Debendranath's son Rabindranath Tagore, the leading figure of the Bengali Renaissance. The prayer hall is pictured.",Santiniketan.jpg
Sacred Ensembles of the Hoysalas,Karnataka,2023,"Three Hoysala temples - the Chennakeshava Temple in Belur, the Hoysaleswara Temple in Halebidu and the Keshava temple (pictured) in Somanathapura, dating between the 12th and 14th centuries. Hoysala architecture combined the elements of Dravidian architecture with influences from northern India. The temples were built by the followers of Vaishnavism and Shaivism and they are richly decorated with stone sculptures and carvings. The Chennakeshava Temple in Belur is still an important pilgrimage site.",Sacred_Ensembles_of_the_Hoysalas.jpg
Moidams – the Mound-Burial system of the Ahom Dynasty,Assam,2024,"Charaideo was the capital of the Ahom kingdom (1228–1826), and the tumuli were the burial sites of the royals and nobility. The tumuli create an undulating landscape reminiscent of hills, in line with the spiritual beliefs of the Tai-Ahom people.",Moidams_the_Mound-Burial_system_of_theAhom_Dynasty.jpg
